la_code,name,UTLA,UTLA_name,DOM_abuse,DOM_dys,DOM_context,ACE_mean_rank,ACE_rank
E07000012,South Cambridgeshire,E10000003,Cambridgeshire,-0.898,-1.119,-0.45,26.33,7.5
E09000007,Camden,E09000007,Camden,0.603,0.549,0.461,269.33,292.5
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,0.26,-0.501,-0.726,107.33,88
E06000049,Cheshire East,E06000049,Cheshire East,-0.191,-0.57,-0.213,116.33,105
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,-0.05,-0.56,-0.124,133.33,125
E06000052,Cornwall,E06000052,Cornwall,-0.307,0.046,0.394,195,208
E06000047,County Durham,E06000047,County Durham,0.439,0.561,0.358,258.33,281
E08000026,Coventry,E08000026,Coventry,2.307,0.572,-0.28,231.33,246.5
E09000008,Croydon,E09000008,Croydon,-0.034,1.089,-0.111,213.67,233
E07000026,Allerdale,E10000006,Cumbria,0.756,-0.816,-0.098,159.67,160
E07000027,Barrow-in-Furness,E10000006,Cumbria,2.106,-0.434,0.7,242,259
E07000028,Carlisle,E10000006,Cumbria,0.998,-0.646,0.541,214.67,234
E07000029,Copeland,E10000006,Cumbria,0.623,-0.85,0.302,188.33,195.5
E07000030,Eden,E10000006,Cumbria,0.077,-1.057,-0.243,111.33,96.5
E07000031,South Lakeland,E10000006,Cumbria,0.181,-1.08,-0.074,133.67,126
E06000005,Darlington,E06000005,Darlington,0.733,0.812,0.396,282.67,302.5
E06000015,Derby,E06000015,Derby,1.16,0.423,0.002,247.33,265.5
E07000032,Amber Valley,E10000007,Derbyshire,-0.046,-0.084,-0.222,153.67,156
E07000033,Bolsover,E10000007,Derbyshire,0.127,0.087,-0.288,170.33,173.5
E07000034,Chesterfield,E10000007,Derbyshire,0.259,0.291,0.202,234,250
E07000035,Derbyshire Dales,E10000007,Derbyshire,-0.545,-0.428,-0.55,67.33,35
E07000036,Erewash,E10000007,Derbyshire,0.126,0.226,-0.256,182.33,186.5
E07000037,High Peak,E10000007,Derbyshire,0.064,0.154,-0.561,144.33,144.5
E07000038,North East Derbyshire,E10000007,Derbyshire,-0.399,-0.301,-0.534,88.33,66
E07000039,South Derbyshire,E10000007,Derbyshire,-0.063,0.048,-0.622,125,113
E07000040,East Devon,E10000008,Devon,-0.284,-0.272,-0.385,108.67,89
E07000041,Exeter,E10000008,Devon,0.588,0.552,0.56,271.33,295
E07000042,Mid Devon,E10000008,Devon,-0.22,-0.187,-0.481,106.33,87
E07000043,North Devon,E10000008,Devon,-0.144,-0.111,0.346,194,205.5
E07000044,South Hams,E10000008,Devon,-0.342,-0.298,-0.471,93.67,72
E07000045,Teignbridge,E10000008,Devon,0.128,0.101,-0.188,182.33,186.5
E07000046,Torridge,E10000008,Devon,-0.19,-0.252,0.108,168.33,170.5
E07000047,West Devon,E10000008,Devon,-0.404,-0.432,-0.424,85.67,60
E08000017,Doncaster,E08000017,Doncaster,1.233,-0.097,0.237,239,253.5
E07000048,Christchurch,E10000009,Dorset,0.25,0.068,-0.145,190.33,200
E07000049,East Dorset,E10000009,Dorset,-0.218,-0.293,-0.658,92.33,69.5
E07000050,North Dorset,E10000009,Dorset,-0.082,-0.156,-0.375,131,119.5
E07000051,Purbeck,E10000009,Dorset,0.296,0.127,-0.037,208,227
E07000052,West Dorset,E10000009,Dorset,-0.06,-0.109,-0.118,162.33,165
E07000053,Weymouth and Portland,E10000009,Dorset,0.664,0.656,0.58,281.67,301
E08000027,Dudley,E08000027,Dudley,0.844,-0.518,-0.364,147.33,150
E09000009,Ealing,E09000009,Ealing,-0.205,0.432,-0.218,170,172
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,-0.306,-0.364,-0.405,99.33,75
E07000061,Eastbourne,E10000011,East Sussex,0.351,0.561,0.699,268.67,291
E07000062,Hastings,E10000011,East Sussex,1.317,1.443,1.084,315.33,321
E07000063,Lewes,E10000011,East Sussex,-0.258,-0.018,-0.001,165.67,167
E07000064,Rother,E10000011,East Sussex,0.005,-0.087,0.212,197,214
E07000065,Wealden,E10000011,East Sussex,-0.545,-0.33,-0.184,111,93.5
E09000010,Enfield,E09000010,Enfield,-0.503,0.452,-0.424,128,115
E07000066,Basildon,E10000012,Essex,-0.708,-0.646,-0.112,87.33,63.5
E07000067,Braintree,E10000012,Essex,-1.064,-0.88,-0.175,60.67,28
E07000068,Brentwood,E10000012,Essex,-1.336,-1.03,-0.421,26.33,7.5
E07000069,Castle Point,E10000012,Essex,-1.125,-1.046,-0.411,28.67,9
E07000070,Chelmsford,E10000012,Essex,-1.137,-1.016,-0.101,62.67,29.5
E07000071,Colchester,E10000012,Essex,-0.881,-0.786,0.385,114.33,100.5
E07000072,Epping Forest,E10000012,Essex,-1.222,-0.892,-0.579,17.67,3
E07000073,Harlow,E10000012,Essex,-0.434,-0.343,0.56,170.33,173.5
E07000074,Maldon,E10000012,Essex,-1.234,-1.212,0.068,73,46.5
E07000075,Rochford,E10000012,Essex,-1.326,-1.202,-0.419,22.33,5
E07000076,Tendring,E10000012,Essex,-0.488,-0.803,0.914,146.67,149
E07000077,Uttlesford,E10000012,Essex,-1.381,-1.196,2.21,110.33,91
E08000037,Gateshead,E08000037,Gateshead,0.967,1.406,-0.082,256.67,278
E07000078,Cheltenham,E10000013,Gloucestershire,-0.476,-0.568,-0.033,115.33,102
E07000079,Cotswold,E10000013,Gloucestershire,-0.628,-0.869,-0.467,46,19
E07000080,Forest of Dean,E10000013,Gloucestershire,-0.457,-0.812,-0.143,93.33,71
E07000081,Gloucester,E10000013,Gloucestershire,0.458,-0.116,0.366,225,240
E07000082,Stroud,E10000013,Gloucestershire,-0.632,-0.752,-0.456,52,23
E07000083,Tewkesbury,E10000013,Gloucestershire,-0.69,-0.838,-0.677,30.33,10
E09000011,Greenwich,E09000011,Greenwich,0.041,0.686,-0.327,186.33,192
E09000012,Hackney,E09000012,Hackney,0.266,1.404,0.233,266,287
E06000006,Halton,E06000006,Halton,0.924,1.585,0.128,277.67,300
E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,0.21,0.598,0.537,259.33,282
E07000084,Basingstoke and Deane,E10000014,Hampshire,-0.04,0.012,-0.334,146,147.5
E07000085,East Hampshire,E10000014,Hampshire,-0.559,-0.35,-0.269,100.33,77
E07000086,Eastleigh,E10000014,Hampshire,-0.081,0.062,-0.601,124.67,112
E07000087,Fareham,E10000014,Hampshire,-0.199,-0.171,-0.424,115.67,103
E07000088,Gosport,E10000014,Hampshire,0.495,0.506,0.181,247,263.5
E07000089,Hart,E10000014,Hampshire,-0.486,-0.479,-0.471,72,43.5
E07000090,Havant,E10000014,Hampshire,0.73,0.187,-0.03,225.33,241
E07000091,New Forest,E10000014,Hampshire,-0.194,-0.238,-0.447,110,90
E07000092,Rushmoor,E10000014,Hampshire,0.043,0.176,-0.039,195.67,209
E07000093,Test Valley,E10000014,Hampshire,-0.052,-0.167,-0.099,161,162.5
E07000094,Winchester,E10000014,Hampshire,-0.293,-0.34,-0.319,112.33,98.5
E09000014,Haringey,E09000014,Haringey,0.101,0.764,0.265,250.33,270
E09000015,Harrow,E09000015,Harrow,-0.343,-0.073,-0.536,102.67,81
E06000001,Hartlepool,E06000001,Hartlepool,1.571,1.568,0.157,288.67,308
E09000016,Havering,E09000016,Havering,0.218,-0.195,-0.405,142.67,140
E06000019,"Herefordshire, County of",E06000019,"Herefordshire, County of",0.385,-0.593,0.048,172,175.5
E07000095,Broxbourne,E10000015,Hertfordshire,-0.814,0.101,0.236,161,162.5
E07000096,Dacorum,E10000015,Hertfordshire,-0.779,-0.025,0.132,145.33,146
E07000242,East Hertfordshire,E10000015,Hertfordshire,-0.859,-0.249,-0.378,78.33,55
E07000098,Hertsmere,E10000015,Hertfordshire,-0.821,0.016,-0.006,134,127.5
E07000099,North Hertfordshire,E10000015,Hertfordshire,-0.808,-0.142,-0.123,114.33,100.5
E07000240,St Albans,E10000015,Hertfordshire,-0.859,-0.297,-0.297,86.33,61
E07000243,Stevenage,E10000015,Hertfordshire,-0.599,0.278,0.41,192,201
E07000102,Three Rivers,E10000015,Hertfordshire,-0.885,-0.129,-0.265,97.67,74
E07000103,Watford,E10000015,Hertfordshire,-0.755,0.153,0.566,182,185
E07000241,Welwyn Hatfield,E10000015,Hertfordshire,-0.71,0.01,0.322,162,164
